Corps,Home Location,Latitude,Longitude,Conference,Class
7th Regiment,"New London, CT",41.3556187,-72.0997804,,DCI Open Class
Atlanta CV,"Atlanta, GA",33.7489924,-84.3902644,,DCI All Age World Class
Blue Devils,"Concord, CA",37.9768525,-122.0335624,Pacific,DCI World Class
Blue Devils B,"Concord, CA",37.9768525,-122.0335624,,DCI Open Class
Blue Devils C,"Concord, CA",37.9768525,-122.0335624,,DCI Open Class
Blue Knights,"Denver, CO",39.7392364,-104.984862,Southwestern,DCI World Class
Blue Stars,"La Crosse, WI",43.8122836,-91.2514355,Midwestern,DCI World Class
Bluecoats,"Canton, OH",40.7985464,-81.3749508,Eastern,DCI World Class
Boston Crusaders,"Boston, MA",42.3554334,-71.060511,Eastern,DCI World Class
Bushwackers Drum Corps,"Princeton, NJ",40.3496953,-74.6597376,,DCI All Age World Class
Carolina Crown,"Fort Mill, SC",35.0073697,-80.9450759,Eastern,DCI World Class
Cincinnati Tradition,"Cincinnati, OH",39.1014537,-84.5124602,,DCI All Age Open Class
Colt Cadets,"Dubuque, IA",42.5006243,-90.6647985,,DCI Open Class
Colts,"Dubuque, IA",42.5006243,-90.6647985,Midwestern,DCI World Class
Columbians,"Pasco, WA",46.2306739,-119.0921,,DCI Open Class
Columbus Saints,"Columbus, OH",39.9622601,-83.0007065,,DCI All Age Class A
Crossmen,"San Antonio, TX",29.4246002,-98.4951405,Southwestern,DCI World Class
Fusion Core,"Morris County, NJ",40.8679538,-74.5601181,,DCI All Age Open Class
Genesis,"Austin, TX",30.2711286,-97.7436995,Southwestern,DCI World Class
Gold,"San Diego, CA",32.7174202,-117.162772,,DCI Open Class
Golden Empire,"Bakersfield, CA",35.3738712,-119.019463,,DCI Open Class
Govenaires,"St. Peter, MN",44.3238384,-93.9585295,,DCI All Age Class A
Guardians,"Dallas, TX",32.7762719,-96.7968559,,DCI Open Class
Hawthorne Caballeros,"Hawthorne, NJ",40.9492649,-74.1537549,,DCI All Age World Class
Heat Wave,"Tampa Bay, FL",27.6886419,-82.5723193,,
Hurricanes,"Seymour, CT",41.395317,-73.0724442,,DCI All Age World Class
Impulse,"Buena Park, CA",33.870413,-117.9962165,,DCI Open Class
Jersey Surf,"Camden County, NJ",39.8014709,-74.968553,Eastern,DCI World Class
Les Stentors,"Sherbrooke, QC",45.403271,-71.889038,,
Madison Scouts,"Madison, WI",43.074761,-89.3837613,Midwestern,DCI World Class
Mandarins,"Sacramento, CA",38.5810606,-121.493895,Pacific,DCI World Class
Music City,"Nashville, TN",36.1622767,-86.7742984,Eastern,DCI World Class
New York Skyliners,"Southern Tier, NY",42.1615601,-76.8426327,,DCI All Age Class A
Pacific Crest,"City of Industry, CA",34.0182252,-117.9593061,Pacific,DCI World Class
Phantom Regiment,"Rockford, IL",42.2713945,-89.093966,Midwestern,DCI World Class
Raiders,"Princeton, NJ",40.3496953,-74.6597376,,DCI Open Class
Reading Buccaneers,"Reading, PA",40.335345,-75.9279495,,DCI All Age World Class
River City Rhythm,"Anoka, MN",45.2710195,-93.2827625,,DCI Open Class
Rogues Hollow Regiment,"Doylestown, OH",40.9700549,-81.6965168,,DCI All Age Open Class
Santa Clara Vanguard,"Santa Clara, CA",37.2333253,-121.6846349,Pacific,DCI World Class
Seattle Cascades,"Seattle, WA",47.6038321,-122.330062,Pacific,DCI World Class
Spartans,"Nashua, NH",42.7656251,-71.4677032,,DCI Open Class
Spirit of Atlanta,"Atlanta, GA",33.7489924,-84.3902644,Eastern,DCI World Class
Sunrisers,"Long Island, NY",40.85149705,-73.09942581,,DCI All Age Class A
The Academy,"Tempe, AZ",33.4255117,-111.940016,Southwestern,DCI World Class
The Battalion,"Salt Lake City, UT",40.7596198,-111.886797,,DCI Open Class
The Cavaliers,"Rosemont, IL",41.9941334,-87.8756737,Midwestern,DCI World Class
Troopers,"Casper, WY",42.8501191,-106.325138,Southwestern,DCI World Class
Vessel,"San Dimas, CA",34.1065404,-117.8069361,,DCI Open Class
White Sabers,"Rochester, NY",43.157285,-77.615214,,DCI All Age Open Class
